"timestamp","case_id","activity_name","resource","user_response"
"2024-05-13T10:16:45.174Z","27","VotarAsignaturaIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","examen cálculo final"
"2024-05-14T09:31:14.701Z","65","VotarAsignaturaIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","examen final sistemas lineales"
"2024-05-13T10:49:59.845Z","6","VotarAsignaturaIntent","amzn1.ask.account.AMA4GGQFKUVPKHSXNDQJOWITGAZZTUGGSZNKH3UPMV4CTFDF6WNDC3W2HTH24IH2VGPVXRALWSKR45SEPJDQ5S5OK5ZRYXHLBWRKZQ3APFFYUS4G7CKEEO4C4KM75L2SOLV4GNNFOAUDL5KDO7EVZEPGONQPWDL4GBCVVVUUGMOLOI4FGBUOARYL5P4ZKIESA6ZJFJVQ3PJZL4MJLMJXLCGBUA7GKJZ6IKDK4XSHLQ","final softwareb"
"2024-05-13T10:32:36.758Z","44","CrearOpcionesEncuestaIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","12 de junio"
"2024-05-14T08:26:52.336Z","47","ElegirAsignaturaInformaticaIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","Inteligencia Artificial"
"2024-05-13T10:48:24.458Z","4","ElegirAsignaturaInformaticaIntent","amzn1.ask.account.AMA4GGQFKUVPKHSXNDQJOWITGAZZTUGGSZNKH3UPMV4CTFDF6WNDC3W2HTH24IH2VGPVXRALWSKR45SEPJDQ5S5OK5ZRYXHLBWRKZQ3APFFYUS4G7CKEEO4C4KM75L2SOLV4GNNFOAUDL5KDO7EVZEPGONQPWDL4GBCVVVUUGMOLOI4FGBUOARYL5P4ZKIESA6ZJFJVQ3PJZL4MJLMJXLCGBUA7GKJZ6IKDK4XSHLQ","Fundamentos de Software"
"2024-05-07T14:38:40.427Z","15","CrearOpcionesEncuestaIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","17 de junio"
"2024-05-08T17:00:10.757Z","7","InscribirAsignaturaIntent","amzn1.ask.account.AMA6GWNBIATEG5QZTRXAGN62YQJGIRJJMBNGQ3PA63KU6WEUYFTTM4NXFPDVSX4C3R73DQST43YXISYRYZUFWP3D7FU3F5I5J5UMBNYHXJPWJZT2HFDH7HQ53QORN65ZTTJONFKSVQQJRLICBUFQMYM6LYAGLGMWHRJJPB5XXQGO3TSBWXY25JUN4GC536IE7DYJWDXR5JOMFM4RLNILKBVXJHGGV2FTBMAHQOG4BQ4A","Quiero inscribirme en una asignatura"
"2024-05-08T16:51:12.771Z","2","VerVotacionesIntent","amzn1.ask.account.AMA6GWNBIATEG5QZTRXAGN62YQJGIRJJMBNGQ3PA63KU6WEUYFTTM4NXFPDVSX4C3R73DQST43YXISYRYZUFWP3D7FU3F5I5J5UMBNYHXJPWJZT2HFDH7HQ53QORN65ZTTJONFKSVQQJRLICBUFQMYM6LYAGLGMWHRJJPB5XXQGO3TSBWXY25JUN4GC536IE7DYJWDXR5JOMFM4RLNILKBVXJHGGV2FTBMAHQOG4BQ4A","Quiero ver votaciones abiertas"
"2024-05-14T09:24:05.515Z","59","VotarAsignaturaIntent","amzn1.ask.account.AMA7KBRJLT4GHA2QV43RQ57VYTZZOJYIESFV7PJEOPIF45L2BQU4BO4XHKI7TPSIQCNCMDJUTM7BGFFP7RO3BVCNJKCHTLVYSDQHONSRRBOTX3OCJ7POW7QYDH3O5KDJMPWKSENUM3KD23ZOQ4XERVMSMQOXI6AIMGEVUD75RSIETVDF53R4DKX3GLUYUSXNLTE3KJJ2WUVHPKMCPOMH7NVML4J5RV2BOXRL5AK7MJGQ","final optimización 2"
